"country","SFTGcode","COW","risk_in_2020","risk_in_2020_21","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Pakistan","PAK",770,0.05996,0.1589,1,1,0,0,0,0,1,4.29045944114839,19.1934027596737,7.56306816047562,0.98882943984708,0,1,1,0.71,5.37063802812766,1,4,1,2,0,0,0,0.652,1,0,0,1,-0.996,3.4156986699868,0
"Afghanistan","AFG",700,0.05315,0.1179,1,1,0,0,0,0,1,4.61512051684126,17.454194903937,6.92098258919931,2.90122896413847,0,1,0,0.77,10.3057475296953,1,4,0,2,0,0,0,0.462,0,0,0,1,-0.733,3.82037201924313,0
"Democratic Republic of Congo","ZAI",490,0.04909,0.1029,1,1,1,0,0,0,0,4.0943445622221,18.2790084986098,8.25832912882503,4.38452888103882,1,1,1,0.87,5.18178355029209,1,4,1,4,0,0,0,0.454,0,0,0,1,-0.528,4.20897118658471,0
"Somalia","SOM",520,0.04087,0.07246,1,1,1,0,0,0,0,4.0943445622221,16.5526602325317,8.75214259481643,0.023,1,1,0,0.81,7.57353126274595,1,4,1,0,0,0,0,0.304,0,0,0,1,-0.191,-1.45359966107972,0
"India","IND",750,0.03614,0.07974,1,1,0,0,0,0,1,4.29045944114839,21.0354583741811,5.46808924579693,5.02387342771704,0,1,1,0.42,6.17378610390194,1,4,1,2,0,1,0,0.633,0,0,0,1,-0.492,3.6893427744247,0
"Burma/Myanmar","MYA",775,0.03323,0.06046,1,1,0,1,0,0,0,4.27666611901606,17.8053353621039,6.06630035524124,2.88796073310718,0,1,0,0.51,6.3261494731551,1,4,1,2,0,0,0,0.595,1,0,0,1,0.025,4.1057622848489,0
"Nigeria","NIG",475,0.03309,0.07327,1,1,1,0,0,0,0,4.0943445622221,19.1186343501204,8.70057469366248,2.2084292771582,0,1,0,0.85,7.19142933003638,1,4,1,3,0,1,1,0.661,0,0,0,1,-0.751,3.49674491180772,0
"Ethiopia","ETI",530,0.03155,0.06453,1,1,1,0,0,0,0,7.65917136766606,18.5347121287368,6.25299928034539,8.28136104719879,0,1,1,0.72,3.3322045101752,1,4,2,3,0,0,0,0.443,0,0,0,1,0.909,3.35836022297946,0
"Turkey","TUR",640,0.03064,0.07067,0,1,0,0,1,0,0,4.57471097850338,18.2395139002206,3.01662062579967,0.877433457567804,1,1,0,0.32,6.29341927884648,1,4,0,2,0,0,0,0.148,1,0,0,1,-0.245,4.11732025416108,1
"South Sudan","SSD",626,0.03044,0.05938,1,1,1,0,0,0,0,2.19722457733622,16.2190365846356,7.98122797569397,-0.052,0,1,1,0.73,4.70953020131233,1,4,0,2,0,0,0,0.182,1,0,0,1,-0.86,-1.27920538129296,0
"Sudan","SUD",625,0.02828,0.05769,1,1,1,0,0,0,0,4.15888308335967,17.5723579117944,6.48845127900333,-2.55550593992368,0,1,1,0.71,0,1,3,1,1,0,0,0,0.381,0,0,0,1,-1.437,3.28548206647015,1
"Syria","SYR",652,0.02679,0.05867,1,1,0,0,0,1,0,4.30406509320417,16.652841003351,3.74165738677394,-0.137931034482759,0,1,1,0.54,8.8963143241848,1,1,1,1,1,0,0,0.046,1,0,0,1,-1.959,-1.80660326761467,0
"Central African Republic","CEN",482,0.02674,0.04186,1,1,1,0,0,0,0,4.0943445622221,15.372640977675,9.19238815542512,2.97027564753407,1,1,0,0.83,3.89182029811063,1,4,1,3,0,0,0,0.487,0,0,0,1,0.734,4.19170007986504,0
"Yemen","YEM",679,0.02656,0.08125,0,0,0,0,0,1,0,3.40119738166216,17.1883743751411,6.54980915752513,-0.059,0,1,1,0.135,7.41697962138115,1,4,1,0,0,0,0,0.271,1,0,0,1,-1.571,-2.79322133741372,0
"Colombia","COL",100,0.02247,0.04779,0,1,0,0,0,0,0,5.30330490805908,17.7342994828506,3.4928498393146,3.32221278858155,1,1,0,0.6,4.8283137373023,1,4,1,3,0,0,0,0.426,0,0,0,1,-0.172,3.64007668651315,0
"Republic of the Congo","CON",484,0.01979,0.05372,0,1,1,0,0,0,0,4.0943445622221,15.4982933514721,6.01664358259653,-0.89999999818528,1,1,0,0.87,0,1,4,1,3,1,0,0,0.174,0,0,0,1,0.306,4.72073621200782,0
"China","CHN",710,0.01874,0.03232,0,1,0,1,0,0,0,7.71467747380093,21.0581045973143,2.72029410174709,6.10856062651904,0,1,1,0.15,0,1,0,1,0,0,0,0,0.244,1,0,0,1,-0.353,3.57459275977517,0
"Burundi","BUI",516,0.01837,0.0444,0,1,1,0,0,0,0,4.06044301054642,16.260513194536,6.40312423743285,1.84247667669986,0,1,0,0.3,4.11087386417331,1,2,0,4,1,0,0,0.065,0,1,0,1,-0.984,3.73426765338674,1
"Rwanda","RWA",517,0.01832,0.03784,0,1,1,0,0,0,0,4.06044301054642,16.3513439766442,5.19615242270663,9.40693494771058,0,1,1,0.32,5.30330490805908,1,3,1,3,0,0,0,0.3,0,0,0,1,-0.682,3.98269361551623,0
